time,Power (kWh),HVAC_kW,Other_kW
2024-06-30 17:00:00,0.9230594005562093,0.5530594005562093,0.37
2024-06-30 18:00:00,0.9117617780153316,0.5417617780153317,0.37
2024-06-30 19:00:00,0.8735671794306132,0.5035671794306132,0.37
2024-06-30 20:00:00,0.816439821742188,0.44643982174218805,0.37
2024-06-30 21:00:00,0.7869725810715367,0.4169725810715367,0.37
2024-06-30 22:00:00,0.7529780475197658,0.3829780475197659,0.37
2024-06-30 23:00:00,0.7334622956937853,0.3634622956937853,0.37
2024-07-01 00:00:00,0.7233240059257835,0.3533240059257835,0.37
2024-07-01 01:00:00,0.7037747253564421,0.3337747253564422,0.37
2024-07-01 02:00:00,0.6641612895506523,0.29416128955065235,0.37
2024-07-01 03:00:00,0.6238853990993342,0.25388539909933416,0.37
2024-07-01 04:00:00,0.5972039543695236,0.22720395436952354,0.37
2024-07-01 05:00:00,0.5867856911241496,0.2167856911241496,0.37
2024-07-01 06:00:00,0.5740976030587368,0.20409760305873678,0.37
2024-07-01 07:00:00,0.5837098308557955,0.21370983085579556,0.37
2024-07-01 08:00:00,0.6097593098100607,0.23975930981006066,0.37
2024-07-01 09:00:00,0.6281735918964619,0.258173591896462,0.37
2024-07-01 10:00:00,0.6635978770179076,0.2935978770179077,0.37
2024-07-01 11:00:00,0.6932288673118583,0.3232288673118583,0.37
2024-07-01 12:00:00,0.7233276879404411,0.3533276879404411,0.37
2024-07-01 13:00:00,0.743520323135803,0.37352032313580297,0.37
2024-07-01 14:00:00,0.7778078335252139,0.4078078335252138,0.37
2024-07-01 15:00:00,0.7875967369630517,0.4175967369630516,0.37
2024-07-01 16:00:00,0.7624029447980012,0.39240294479800125,0.37
2024-07-01 17:00:00,0.7659825545209312,0.39598255452093123,0.37
2024-07-01 18:00:00,0.7422380013376995,0.3722380013376995,0.37
2024-07-01 19:00:00,0.7074189703546861,0.33741897035468615,0.37
2024-07-01 20:00:00,0.6793800807323962,0.30938008073239615,0.37
2024-07-01 21:00:00,0.6687915563379537,0.29879155633795373,0.37
2024-07-01 22:00:00,0.6351143973904589,0.2651143973904589,0.37
2024-07-01 23:00:00,0.6226323189998568,0.2526323189998569,0.37
2024-07-02 00:00:00,0.6225420685341676,0.25254206853416755,0.37
2024-07-02 01:00:00,0.602735605050052,0.23273560505005195,0.37
2024-07-02 02:00:00,0.5906966367782795,0.22069663677827955,0.37
2024-07-02 03:00:00,0.5907119109432376,0.22071191094323758,0.37
2024-07-02 04:00:00,0.5927708050665519,0.22277080506655195,0.37
2024-07-02 05:00:00,0.6023021961350179,0.2323021961350179,0.37
2024-07-02 06:00:00,0.6078517774786061,0.23785177747860609,0.37
2024-07-02 07:00:00,0.631021844825375,0.26102184482537505,0.37
2024-07-02 08:00:00,0.6629987603708997,0.29299876037089967,0.37
2024-07-02 09:00:00,0.7012369791027312,0.3312369791027312,0.37
2024-07-02 10:00:00,0.7307378344282771,0.3607378344282771,0.37
2024-07-02 11:00:00,0.782260240579596,0.4122602405795959,0.37
2024-07-02 12:00:00,0.8499657018526339,0.4799657018526338,0.37
2024-07-02 13:00:00,0.8807334664502381,0.5107334664502381,0.37
2024-07-02 14:00:00,0.8710140416940979,0.5010140416940979,0.37
2024-07-02 15:00:00,0.8549884178637406,0.48498841786374064,0.37
2024-07-02 16:00:00,0.8278467842205941,0.45784678422059405,0.37
2024-07-02 17:00:00,0.7881812672491286,0.4181812672491286,0.37
2024-07-02 18:00:00,0.7449217465029718,0.3749217465029719,0.37
2024-07-02 19:00:00,0.6908947231231989,0.3208947231231989,0.37
2024-07-02 20:00:00,0.6492820710542789,0.27928207105427894,0.37
2024-07-02 21:00:00,0.6463478911792606,0.2763478911792606,0.37
2024-07-02 22:00:00,0.6437879140567934,0.27378791405679337,0.37
2024-07-02 23:00:00,0.6290503884100014,0.2590503884100014,0.37
2024-07-03 00:00:00,0.6255143101038462,0.2555143101038462,0.37
2024-07-03 01:00:00,0.6238952389632052,0.2538952389632052,0.37
2024-07-03 02:00:00,0.6207070936139663,0.2507070936139662,0.37
2024-07-03 03:00:00,0.6042396865192974,0.23423968651929733,0.37
2024-07-03 04:00:00,0.5956981059991905,0.22569810599919046,0.37
2024-07-03 05:00:00,0.6001215459543546,0.23012154595435466,0.37
2024-07-03 06:00:00,0.5978310650135423,0.22783106501354236,0.37
2024-07-03 07:00:00,0.6063798882400225,0.2363798882400225,0.37
2024-07-03 08:00:00,0.63536339407681,0.2653633940768099,0.37
2024-07-03 09:00:00,0.6707292699806994,0.3007292699806994,0.37
2024-07-03 10:00:00,0.6919850610755908,0.3219850610755908,0.37
2024-07-03 11:00:00,0.7181476550422603,0.34814765504226025,0.37
2024-07-03 12:00:00,0.741912125065679,0.3719121250656791,0.37
2024-07-03 13:00:00,0.7796094398561072,0.4096094398561072,0.37
2024-07-03 14:00:00,0.8007094900921663,0.43070949009216625,0.37
2024-07-03 15:00:00,0.779682745571467,0.40968274557146694,0.37
2024-07-03 16:00:00,0.7580116689900995,0.38801166899009953,0.37
2024-07-03 17:00:00,0.7366250520272327,0.3666250520272327,0.37
2024-07-03 18:00:00,0.711572328961911,0.34157232896191103,0.37
2024-07-03 19:00:00,0.6798306937665866,0.3098306937665865,0.37
2024-07-03 20:00:00,0.6542540124668803,0.2842540124668803,0.37
2024-07-03 21:00:00,0.632732223355429,0.262732223355429,0.37
2024-07-03 22:00:00,0.6213759777987977,0.25137597779879767,0.37
2024-07-03 23:00:00,0.6220576779228096,0.25205767792280964,0.37
2024-07-04 00:00:00,0.622006500298151,0.2520065002981509,0.37
2024-07-04 01:00:00,0.6186797949394951,0.24867979493949507,0.37
2024-07-04 02:00:00,0.6167937578435666,0.2467937578435666,0.37
2024-07-04 03:00:00,0.6179305832159585,0.24793058321595854,0.37
2024-07-04 04:00:00,0.6164627064372734,0.24646270643727342,0.37
2024-07-04 05:00:00,0.6151573321471635,0.2451573321471635,0.37
2024-07-04 06:00:00,0.6117161939574745,0.24171619395747448,0.37
2024-07-04 07:00:00,0.621405857996852,0.25140585799685194,0.37
2024-07-04 08:00:00,0.6419451727289656,0.2719451727289655,0.37
2024-07-04 09:00:00,0.6653618206395813,0.2953618206395813,0.37
2024-07-04 10:00:00,0.6839154110511623,0.3139154110511622,0.37
2024-07-04 11:00:00,0.6978587812384451,0.3278587812384452,0.37
2024-07-04 12:00:00,0.707273442678342,0.33727344267834203,0.37
2024-07-04 13:00:00,0.7202098612233436,0.3502098612233436,0.37
2024-07-04 14:00:00,0.7422088754435636,0.37220887544356357,0.37
2024-07-04 15:00:00,0.7688892996350768,0.3988892996350768,0.37
2024-07-04 16:00:00,0.7911557041233752,0.4211557041233753,0.37
2024-07-04 17:00:00,0.809528658737232,0.439528658737232,0.37
2024-07-04 18:00:00,0.8028050918960131,0.4328050918960131,0.37
2024-07-04 19:00:00,0.7660905266578415,0.3960905266578415,0.37
2024-07-04 20:00:00,0.734549124288296,0.364549124288296,0.37
2024-07-04 21:00:00,0.7075452752349476,0.3375452752349476,0.37
2024-07-04 22:00:00,0.6950552262758398,0.3250552262758399,0.37
2024-07-04 23:00:00,0.6834876549205511,0.31348765492055114,0.37
2024-07-05 00:00:00,0.6813919201407432,0.31139192014074324,0.37
2024-07-05 01:00:00,0.6754182285327239,0.3054182285327239,0.37
2024-07-05 02:00:00,0.6610389488742306,0.29103894887423065,0.37
2024-07-05 03:00:00,0.6511440749459059,0.2811440749459058,0.37
2024-07-05 04:00:00,0.640771366260814,0.270771366260814,0.37
2024-07-05 05:00:00,0.6251460676752305,0.2551460676752305,0.37
2024-07-05 06:00:00,0.6082632583235359,0.2382632583235359,0.37
2024-07-05 07:00:00,0.6179435480880253,0.24794354808802527,0.37
2024-07-05 08:00:00,0.6409332431493149,0.27093324314931483,0.37
2024-07-05 09:00:00,0.6617929981845678,0.2917929981845678,0.37
2024-07-05 10:00:00,0.6851380500311186,0.3151380500311186,0.37
2024-07-05 11:00:00,0.7216439722991954,0.3516439722991955,0.37
2024-07-05 12:00:00,0.7312279746674157,0.3612279746674158,0.37
2024-07-05 13:00:00,0.7507079502689527,0.3807079502689527,0.37
2024-07-05 14:00:00,0.7636221222933436,0.3936221222933436,0.37
2024-07-05 15:00:00,0.7656826284938905,0.3956826284938905,0.37
2024-07-05 16:00:00,0.767464978239395,0.39746497823939503,0.37
2024-07-05 17:00:00,0.7915016562897992,0.42150165628979924,0.37
2024-07-05 18:00:00,0.8033122867056464,0.43331228670564637,0.37
2024-07-05 19:00:00,0.7703961724461543,0.4003961724461544,0.37
2024-07-05 20:00:00,0.7184167322754345,0.34841673227543446,0.37
2024-07-05 21:00:00,0.6915256651954687,0.32152566519546866,0.37
2024-07-05 22:00:00,0.685818646880757,0.315818646880757,0.37
2024-07-05 23:00:00,0.6930679194785525,0.3230679194785525,0.37
2024-07-06 00:00:00,0.6852417391988856,0.3152417391988856,0.37
2024-07-06 01:00:00,0.6590903873123515,0.28909038731235154,0.37
2024-07-06 02:00:00,0.6314636420575852,0.2614636420575852,0.37
2024-07-06 03:00:00,0.6147459289191471,0.24474592891914718,0.37
2024-07-06 04:00:00,0.6010246949665212,0.23102469496652117,0.37
2024-07-06 05:00:00,0.5950614975347499,0.22506149753474994,0.37
2024-07-06 06:00:00,0.5875126478681618,0.21751264786816188,0.37
2024-07-06 07:00:00,0.5932187812055199,0.22321878120551986,0.37
2024-07-06 08:00:00,0.5829652842354095,0.2129652842354095,0.37
2024-07-06 09:00:00,0.56168859082572,0.19168859082571998,0.37
2024-07-06 10:00:00,0.5514795577440618,0.18147955774406177,0.37
2024-07-06 11:00:00,0.5527611203580703,0.18276112035807035,0.37
2024-07-06 12:00:00,0.5361830068888531,0.16618300688885312,0.37
2024-07-06 13:00:00,0.5246047066259214,0.15460470662592135,0.37
2024-07-06 14:00:00,0.521975884208678,0.15197588420867805,0.37
2024-07-06 15:00:00,0.517181615912867,0.147181615912867,0.37
2024-07-06 16:00:00,0.5124549975617184,0.1424549975617184,0.37
2024-07-06 17:00:00,0.5039465231814115,0.13394652318141154,0.37
2024-07-06 18:00:00,0.4918687709362934,0.12186877093629339,0.37
2024-07-06 19:00:00,0.48780895354721976,0.11780895354721974,0.37
2024-07-06 20:00:00,0.49163299682313777,0.12163299682313777,0.37
2024-07-06 21:00:00,0.4937064996835874,0.12370649968358736,0.37
2024-07-06 22:00:00,0.49410241487020534,0.12410241487020532,0.37
2024-07-06 23:00:00,0.4924788875877761,0.12247888758777609,0.37
2024-07-07 00:00:00,0.49281472934659837,0.12281472934659837,0.37
2024-07-07 01:00:00,0.49710068211953373,0.1271006821195337,0.37
2024-07-07 02:00:00,0.5046975477065571,0.1346975477065571,0.37
2024-07-07 03:00:00,0.5081981662852361,0.13819816628523604,0.37
2024-07-07 04:00:00,0.5153555234601307,0.1453555234601307,0.37
2024-07-07 05:00:00,0.5167694541473408,0.14676945414734077,0.37
2024-07-07 06:00:00,0.5183484979077647,0.14834849790776475,0.37
2024-07-07 07:00:00,0.5214868970674538,0.15148689706745375,0.37
2024-07-07 08:00:00,0.5234322209648166,0.1534322209648166,0.37
2024-07-07 09:00:00,0.5246735194834802,0.15467351948348018,0.37
2024-07-07 10:00:00,0.5275150581256473,0.15751505812564726,0.37
2024-07-07 11:00:00,0.5379985476509843,0.16799854765098426,0.37
2024-07-07 12:00:00,0.5519316374643349,0.1819316374643349,0.37
2024-07-07 13:00:00,0.5654161311839372,0.19541613118393722,0.37
2024-07-07 14:00:00,0.5586156066323235,0.18861560663232343,0.37
2024-07-07 15:00:00,0.5516288132651801,0.18162881326518004,0.37
2024-07-07 16:00:00,0.5534641764096622,0.18346417640966212,0.37
2024-07-07 17:00:00,0.5551636576107242,0.18516365761072412,0.37
2024-07-07 18:00:00,0.5611434122587962,0.19114341225879622,0.37
2024-07-07 19:00:00,0.5653224017240277,0.19532240172402765,0.37
2024-07-07 20:00:00,0.5587686180992117,0.18876861809921175,0.37
2024-07-07 21:00:00,0.5381032948494928,0.16810329484949277,0.37
2024-07-07 22:00:00,0.5246588856763964,0.1546588856763964,0.37
2024-07-07 23:00:00,0.5207226120233897,0.15072261202338966,0.37
2024-07-08 00:00:00,0.5187806314043794,0.1487806314043794,0.37
2024-07-08 01:00:00,0.5174443978479778,0.14744439784797778,0.37
2024-07-08 02:00:00,0.5191125574452091,0.14911255744520913,0.37
2024-07-08 03:00:00,0.5238759836808751,0.1538759836808751,0.37
2024-07-08 04:00:00,0.5279502118247457,0.15795021182474567,0.37
2024-07-08 05:00:00,0.5286304179239983,0.15863041792399837,0.37
2024-07-08 06:00:00,0.5289114590631782,0.1589114590631782,0.37
2024-07-08 07:00:00,0.5324996984919848,0.16249969849198478,0.37
2024-07-08 08:00:00,0.5445835937810557,0.1745835937810557,0.37
2024-07-08 09:00:00,0.549704530322064,0.17970453032206396,0.37
2024-07-08 10:00:00,0.5562545352788767,0.18625453527887673,0.37
2024-07-08 11:00:00,0.561237708379438,0.191237708379438,0.37
2024-07-08 12:00:00,0.5720502769535769,0.20205027695357688,0.37
2024-07-08 13:00:00,0.5773646270217414,0.20736462702174135,0.37
2024-07-08 14:00:00,0.5716450878672568,0.20164508786725674,0.37
2024-07-08 15:00:00,0.567700834661636,0.19770083466163602,0.37
2024-07-08 16:00:00,0.5563181625270044,0.1863181625270044,0.37
2024-07-08 17:00:00,0.5504030640179117,0.18040306401791176,0.37
2024-07-08 18:00:00,0.5423969546858731,0.17239695468587313,0.37
2024-07-08 19:00:00,0.5389280725559649,0.16892807255596484,0.37
2024-07-08 20:00:00,0.5335170031163083,0.16351700311630835,0.37
2024-07-08 21:00:00,0.529070113419178,0.15907011341917798,0.37
2024-07-08 22:00:00,0.527547432952707,0.15754743295270696,0.37
2024-07-08 23:00:00,0.5252237025216187,0.15522370252161863,0.37
2024-07-09 00:00:00,0.5266839488916067,0.15668394889160672,0.37
2024-07-09 01:00:00,0.5276813544102545,0.15768135441025452,0.37
2024-07-09 02:00:00,0.5234274266362143,0.15342742663621434,0.37
2024-07-09 03:00:00,0.5220130857631551,0.15201308576315506,0.37
2024-07-09 04:00:00,0.5204696259507177,0.15046962595071767,0.37
2024-07-09 05:00:00,0.5179335044599052,0.1479335044599051,0.37
2024-07-09 06:00:00,0.5178042096128698,0.14780420961286975,0.37
2024-07-09 07:00:00,0.5208519000191971,0.15085190001919707,0.37
2024-07-09 08:00:00,0.5246990764411117,0.15469907644111175,0.37
2024-07-09 09:00:00,0.5415861407404532,0.17158614074045325,0.37
2024-07-09 10:00:00,0.5584315651583749,0.18843156515837484,0.37
2024-07-09 11:00:00,0.5867906906063808,0.2167906906063808,0.37
2024-07-09 12:00:00,0.6202232759751092,0.2502232759751092,0.37
2024-07-09 13:00:00,0.6278824529656009,0.2578824529656008,0.37
2024-07-09 14:00:00,0.6261652339207604,0.2561652339207604,0.37
2024-07-09 15:00:00,0.6088745412350034,0.23887454123500335,0.37
2024-07-09 16:00:00,0.5876044119581734,0.21760441195817332,0.37
2024-07-09 17:00:00,0.5743246648009193,0.2043246648009192,0.37
2024-07-09 18:00:00,0.5634036812031625,0.19340368120316256,0.37
2024-07-09 19:00:00,0.5506658908243152,0.18066589082431517,0.37
2024-07-09 20:00:00,0.5457649956226869,0.1757649956226869,0.37
2024-07-09 21:00:00,0.5342558269164314,0.16425582691643134,0.37
2024-07-09 22:00:00,0.5264334639843039,0.15643346398430388,0.37
2024-07-09 23:00:00,0.5259576360596293,0.15595763605962934,0.37
2024-07-10 00:00:00,0.5260773798008818,0.15607737980088174,0.37
2024-07-10 01:00:00,0.5271622503976912,0.15716225039769116,0.37
2024-07-10 02:00:00,0.5235383467114794,0.1535383467114793,0.37
2024-07-10 03:00:00,0.5222179151798565,0.1522179151798565,0.37
2024-07-10 04:00:00,0.5218412925257887,0.15184129252578873,0.37
2024-07-10 05:00:00,0.522857802449566,0.15285780244956604,0.37
2024-07-10 06:00:00,0.5235279054119019,0.15352790541190187,0.37
2024-07-10 07:00:00,0.5222575546178062,0.1522575546178062,0.37
2024-07-10 08:00:00,0.5225706101561769,0.15257061015617693,0.37
2024-07-10 09:00:00,0.5249833414667638,0.15498334146676387,0.37
2024-07-10 10:00:00,0.5293385092976861,0.1593385092976861,0.37
2024-07-10 11:00:00,0.5316754516786109,0.16167545167861092,0.37
2024-07-10 12:00:00,0.5475890706542124,0.17758907065421237,0.37
2024-07-10 13:00:00,0.5495563436446439,0.17955634364464393,0.37
2024-07-10 14:00:00,0.550293999769331,0.180293999769331,0.37
2024-07-10 15:00:00,0.5630813845315537,0.1930813845315536,0.37
2024-07-10 16:00:00,0.5588617806142427,0.18886178061424275,0.37
2024-07-10 17:00:00,0.5385658215819341,0.16856582158193412,0.37
2024-07-10 18:00:00,0.5235502016401287,0.15355020164012864,0.37
2024-07-10 19:00:00,0.5209487201064112,0.15094872010641128,0.37
2024-07-10 20:00:00,0.5178473588642243,0.14784735886422434,0.37
2024-07-10 21:00:00,0.5167726896695275,0.1467726896695275,0.37
2024-07-10 22:00:00,0.5159954379384374,0.14599543793843742,0.37
2024-07-10 23:00:00,0.5151829934601666,0.14518299346016664,0.37
2024-07-11 00:00:00,0.5155774758367143,0.14557747583671435,0.37
2024-07-11 01:00:00,0.5150260295695132,0.14502602956951316,0.37
2024-07-11 02:00:00,0.5140615898885366,0.14406158988853654,0.37
2024-07-11 03:00:00,0.5144200397872738,0.14442003978727375,0.37
2024-07-11 04:00:00,0.5109263057232081,0.14092630572320802,0.37
2024-07-11 05:00:00,0.5086294362661566,0.13862943626615662,0.37
2024-07-11 06:00:00,0.5065313018721583,0.13653130187215834,0.37
2024-07-11 07:00:00,0.5058740438216957,0.13587404382169563,0.37
2024-07-11 08:00:00,0.5104051736673177,0.14040517366731778,0.37
2024-07-11 09:00:00,0.5154142075073247,0.14541420750732473,0.37
2024-07-11 10:00:00,0.519082260954091,0.1490822609540911,0.37
2024-07-11 11:00:00,0.5298336399226308,0.15983363992263078,0.37
2024-07-11 12:00:00,0.5465281096012349,0.17652810960123488,0.37
2024-07-11 13:00:00,0.5558439535909925,0.18584395359099243,0.37
2024-07-11 14:00:00,0.5720811645101356,0.20208116451013558,0.37
2024-07-11 15:00:00,0.5758633646224431,0.2058633646224432,0.37
2024-07-11 16:00:00,0.5750266213958448,0.2050266213958448,0.37
2024-07-11 17:00:00,0.576127784359248,0.20612778435924808,0.37
2024-07-11 18:00:00,0.5764564127561574,0.20645641275615742,0.37
2024-07-11 19:00:00,0.5485415573779084,0.1785415573779084,0.37
2024-07-11 20:00:00,0.5306583776020531,0.16065837760205315,0.37
2024-07-11 21:00:00,0.5281918760792815,0.1581918760792815,0.37
2024-07-11 22:00:00,0.5274143168680777,0.15741431686807772,0.37
2024-07-11 23:00:00,0.5277192616704385,0.1577192616704385,0.37
2024-07-12 00:00:00,0.5250813608946712,0.1550813608946712,0.37
2024-07-12 01:00:00,0.5253347642211175,0.15533476422111744,0.37
2024-07-12 02:00:00,0.5236235562711755,0.15362355627117547,0.37
2024-07-12 03:00:00,0.5205588019689196,0.15055880196891963,0.37
2024-07-12 04:00:00,0.5210367100393511,0.15103671003935115,0.37
2024-07-12 05:00:00,0.5190499790803819,0.14904997908038187,0.37
2024-07-12 06:00:00,0.5160505124290726,0.14605051242907263,0.37
2024-07-12 07:00:00,0.5209491957472784,0.15094919574727841,0.37
2024-07-12 08:00:00,0.5304208895054632,0.16042088950546324,0.37
