Date/Time,DistrictCooling:HVAC [J](Hourly),DistrictHeating:HVAC [J](Hourly),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/03  06:00:00,0.0,2390146.8250070172,1332530.907142857,0.0,1332000.0 
 01/03  07:00:00,0.0,2369055.201531741,1332530.907142857,0.0,1332000.0 
 01/03  08:00:00,0.0,2452833.7280208054,1332530.907142857,0.0,1332000.0 
 01/03  09:00:00,0.0,2288432.1590980953,1332530.907142857,0.0,1332000.0 
 01/03  10:00:00,0.0,1521052.639049429,1332530.907142857,0.0,1332000.0 
 01/03  11:00:00,0.0,862553.4230835696,1332530.907142857,0.0,1332000.0 
 01/03  12:00:00,0.0,484911.46439952025,1332530.907142857,0.0,1332000.0 
 01/03  13:00:00,0.0,159207.0730145971,1332530.907142857,0.0,1332000.0 
 01/03  14:00:00,0.0,90602.08886572343,1332530.907142857,0.0,1332000.0 
 01/03  15:00:00,44784.5882284877,107372.177612072,1332530.907142857,0.0,1332000.0 
 01/03  16:00:00,16573.45131330913,210396.48124549107,1332530.907142857,0.0,1332000.0 
 01/03  17:00:00,0.0,411378.22674593347,1332530.907142857,0.0,1332000.0 
 01/03  18:00:00,0.0,744855.7786297449,1332530.907142857,0.0,1332000.0 
 01/03  19:00:00,0.0,1014964.2783747369,1332530.907142857,0.0,1332000.0 
 01/03  20:00:00,0.0,1221386.7388531144,1332530.907142857,0.0,1332000.0 
 01/03  21:00:00,0.0,1492019.7018439425,1332530.907142857,0.0,1332000.0 
 01/03  22:00:00,0.0,1740891.98222354,1332530.907142857,0.0,1332000.0 
 01/03  23:00:00,0.0,1869326.6810515106,1332530.907142857,0.0,1332000.0 
 01/03  24:00:00,0.0,1981806.321434267,1332530.907142857,0.0,1332000.0 
 01/04  01:00:00,0.0,2095583.0892718625,1332530.907142857,0.0,1332000.0 
 01/04  02:00:00,0.0,2085355.8377053854,1332530.907142857,0.0,1332000.0 
 01/04  03:00:00,0.0,1972794.963099702,1332530.907142857,0.0,1332000.0 
 01/04  04:00:00,0.0,1974808.6423732596,1332530.907142857,0.0,1332000.0 
 01/04  05:00:00,0.0,1916235.3567785535,1332530.907142857,0.0,1332000.0 
 01/04  06:00:00,0.0,1826591.8489357373,1332530.907142857,0.0,1332000.0 
 01/04  07:00:00,0.0,1787698.9785225813,1332530.907142857,0.0,1332000.0 
 01/04  08:00:00,0.0,1740986.8934345641,1332530.907142857,0.0,1332000.0 
 01/04  09:00:00,0.0,1586745.7072493858,1332530.907142857,0.0,1332000.0 
 01/04  10:00:00,0.0,1125296.4443740493,1332530.907142857,0.0,1332000.0 
 01/04  11:00:00,0.0,783834.0775694699,1332530.907142857,0.0,1332000.0 
 01/04  12:00:00,0.0,560052.1076793947,1332530.907142857,0.0,1332000.0 
 01/04  13:00:00,0.0,358636.68689572276,1332530.907142857,0.0,1332000.0 
 01/04  14:00:00,0.0,207344.900115515,1332530.907142857,0.0,1332000.0 
 01/04  15:00:00,0.0,185928.15894975315,1332530.907142857,0.0,1332000.0 
 01/04  16:00:00,0.0,241637.18565398583,1332530.907142857,0.0,1332000.0 
 01/04  17:00:00,0.0,315877.2020296998,1332530.907142857,0.0,1332000.0 
 01/04  18:00:00,0.0,451708.0093727682,1332530.907142857,0.0,1332000.0 
 01/04  19:00:00,0.0,570036.3333338858,1332530.907142857,0.0,1332000.0 
