city,scenario,schedule_start,schedule_end,photoperiod,optimal_pv_area [m²],optimal_battery_capacity [kWh],capital_cost [$],annual_savings [$/year],payback_period [years],lcoe [$/kWh],grid_cost [$/year],pv_depreciation [$/year],battery_depreciation [$/year],annual_maintenance [$/year],annual_pv_generation [kWh/year],annual_pv_used [kWh/year],annual_grid_import [kWh/year],annual_grid_export [kWh/year],annual_battery_charge [kWh/year],annual_battery_discharge [kWh/year],tlps [%],tlps_max [%],is_feasible,is_optimal,constraint_violations
default_city,independent,0,0,0,55.0,8.0,2273.112,1547.4409630978816,1.4836385844432238,0.14153816723938417,3060.3234110505373,90.92448,28.8,22.73112,29469.027027516608,7737.204815489404,15301.617055252686,0.0,4407.943333995418,0.0,54.71461187214612,0,False,False,Min SOC violation: 0.100; TLPS violation: 54.71%
default_city,independent,0,0,0,55.0,9.0,2363.112,1497.3899295359497,1.593935602825689,0.1440552854551677,3110.3744446124692,94.52448,32.4,23.631120000000003,29469.027027516608,7486.949647679741,15551.872223062348,0.0,4935.206243661361,0.0,53.6986301369863,0,False,False,Min SOC violation: 0.100; TLPS violation: 53.70%
default_city,independent,0,0,0,55.0,10.0,2453.112,1448.0279972127455,1.7110464195230493,0.14654249323357757,3159.7363769356734,98.12448,36.0,24.53112,29469.027027516608,7240.139986063723,15798.681884678366,0.0,5455.207140637442,0.0,52.237442922374434,0,False,False,Min SOC violation: 0.100; TLPS violation: 52.24%
default_city,independent,0,0,0,55.0,11.0,2543.112,1399.1298605605057,1.8358146676756764,0.14900956996216347,3208.6345135879133,101.72448,39.6,25.43112,29469.027027516608,6995.649302802522,16043.172567939568,0.0,5970.3209877856,0.0,51.38127853881278,0,False,False,Min SOC violation: 0.100; TLPS violation: 51.38%
default_city,independent,0,0,0,55.0,12.0,2633.112,1350.4885679935046,1.969245192464888,0.15146549837393528,3257.2758061549143,105.32448000000001,43.2,26.331120000000002,29469.027027516608,6752.442839967516,16286.379030774573,0.0,6482.728375947451,0.0,50.42237442922375,0,False,False,Min SOC violation: 0.100; TLPS violation: 50.42%
default_city,independent,0,0,0,55.0,13.0,2723.112,1302.2159598543212,2.1120483888921777,0.15390542403913068,3305.5484142940977,108.92448,46.8,27.231120000000004,29469.027027516608,6511.0797992716,16527.74207147049,0.0,6991.250934696945,0.0,49.18949771689498,0,False,False,Min SOC violation: 0.100; Max SOC violation: 0.900; TLPS violation: 49.19%
default_city,independent,0,0,0,55.0,14.0,2813.112,1254.452224435648,2.264927324177863,0.1563232620852905,3353.312149712771,112.52448,50.4,28.131120000000003,29469.027027516608,6272.261122178235,16766.560748563854,0.0,7494.411294170774,0.0,48.18493150684932,0,False,False,Min SOC violation: 0.100; TLPS violation: 48.18%
default_city,independent,0,0,0,55.0,15.0,2903.112,1207.1337994263195,2.4290125265264524,0.15872177143435617,3400.6305747220995,116.12448,54.0,29.03112,29469.027027516608,6035.66899713159,17003.1528736105,0.0,7992.87866752296,0.0,47.26027397260274,0,False,False,Min SOC violation: 0.100; TLPS violation: 47.26%
default_city,independent,0,0,0,55.0,16.0,2993.112,1160.2105970293155,2.605598610924958,0.16110312614701974,3447.5537771191034,119.72448,57.6,29.93112,29469.027027516608,5801.052985146576,17237.768885595513,0.0,8487.181476815693,0.0,46.23287671232877,0,False,False,Min SOC violation: 0.100; TLPS violation: 46.23%
default_city,independent,0,0,0,55.0,17.0,3083.112,1113.724075699372,2.795973605980076,0.16346552671916723,3494.040298449047,123.32448000000001,61.2,30.831120000000002,29469.027027516608,5568.620378496857,17470.201492245233,0.0,8976.88299611035,0.0,44.98858447488585,0,False,False,Min SOC violation: 0.100; TLPS violation: 44.99%
default_city,independent,0,0,0,55.0,18.0,3173.112,1067.377878041661,3.002538450468908,0.16582183654270724,3540.386496106758,126.92448,64.8,31.73112,29469.027027516608,5336.8893902083,17701.93248053379,0.0,9465.10694342407,0.0,44.178082191780824,0,False,False,Min SOC violation: 0.100; TLPS violation: 44.18%
default_city,independent,0,0,0,55.0,19.0,3263.112,1021.1220020868441,3.2275703718699273,0.1681742259529812,3586.642372061575,130.52448,68.4,32.63112,29469.027027516608,5105.610010434215,17933.211860307874,0.0,9952.380565976731,0.0,43.19634703196347,0,False,False,Min SOC violation: 0.100; TLPS violation: 43.20%
default_city,independent,0,0,0,55.0,20.0,3353.112,975.3117373148375,3.4723699002371053,0.17050727361108955,3632.4526368335814,134.12448,72.0,33.53112,29469.027027516608,4876.5586865741825,18162.263184167907,0.0,10434.958827906965,0.0,41.95205479452055,0,False,False,Min SOC violation: 0.100; TLPS violation: 41.95%
default_city,independent,0,0,0,60.0,0.0,1694.3040000000003,1991.564708699394,0.8592475215718915,0.1200444433547708,2616.199665449025,67.77216000000001,0.0,16.943040000000003,32148.029484563576,9957.823543496965,13080.998327245125,0.0,0.0,0.0,63.58447488584474,0,False,False,TLPS violation: 63.58%
default_city,independent,0,0,0,60.0,1.0,1784.3040000000003,1935.744271235873,0.9309840492770372,0.12281198253105126,2672.020102912546,71.37216000000001,3.6,17.843040000000002,32148.029484563576,9678.721356179361,13360.100514562728,0.0,588.069792432418,0.0,62.694063926940636,0,False,False,Min SOC violation: 0.100; TLPS violation: 62.69%
default_city,independent,0,0,0,60.0,2.0,1874.3040000000003,1881.38254141591,1.006199961106959,0.1255162065060709,2726.381832732509,74.97216000000002,7.2,18.743040000000004,32148.029484563576,9406.912707079544,13631.909163662545,0.0,1160.7639558724425,0.0,61.757990867579906,0,False,False,Min SOC violation: 0.100; TLPS violation: 61.76%
default_city,independent,0,0,0,60.0,3.0,1964.3040000000003,1827.7618958293451,1.085451581262879,0.128188263721976,2780.002478319074,78.57216000000001,10.8,19.643040000000003,32148.029484563576,9138.809479146721,13900.012391595368,0.0,1725.6469546661285,0.0,60.67351598173516,0,False,False,Min SOC violation: 0.100; TLPS violation: 60.67%
default_city,independent,0,0,0,60.0,4.0,2054.304,1774.8729980886665,1.1690115530713303,0.13082855942464097,2832.8913760597525,82.17216,14.4,20.543040000000005,32148.029484563576,8874.364990443328,14164.456880298761,0.0,2282.8173820877705,0.0,59.45205479452055,0,False,False,Min SOC violation: 0.100; TLPS violation: 59.45%
default_city,independent,0,0,0,60.0,5.0,2144.304,1722.6545832796055,1.2572149176167582,0.13343975281750123,2885.1097908688134,85.77216,18.0,21.443040000000003,32148.029484563576,8613.272916398024,14425.548954344065,0.0,2832.9223003980414,0.0,57.716894977168955,0,False,False,Min SOC violation: 0.100; TLPS violation: 57.72%
default_city,independent,0,0,0,60.0,6.0,2234.304,1670.828643785524,1.350615485551656,0.13603391082039307,2936.935730362895,89.37216000000001,21.6,22.343040000000002,32148.029484563576,8354.143218927613,14684.678651814476,0.0,3378.892905583426,0.0,56.00456621004566,0,False,False,Min SOC violation: 0.100; TLPS violation: 56.00%
default_city,independent,0,0,0,60.0,7.0,2324.304,1619.560916274309,1.4494959815407094,0.13860383963370237,2988.20345787411,92.97216,25.2,23.243040000000004,32148.029484563576,8097.804581371542,14941.017289370548,0.0,3918.9823918649577,0.0,54.486301369863014,0,False,False,Min SOC violation: 0.100; TLPS violation: 54.49%
default_city,independent,0,0,0,60.0,8.0,2414.304,1568.4553058797378,1.554680602538616,0.14116673175400907,3039.309068268681,96.57216,28.8,24.143040000000003,32148.029484563576,7842.276529398685,15196.545341343404,0.0,4457.3641189270675,0.0,53.710045662100455,0,False,False,Min SOC violation: 0.100; TLPS violation: 53.71%
default_city,independent,0,0,0,60.0,9.0,2504.304,1517.4535729772847,1.6668365247164387,0.14372511507205582,3090.3108011711342,100.17216,32.4,25.043040000000005,32148.029484563576,7587.2678648864185,15451.55400585567,0.0,4994.65156609461,0.0,52.71689497716895,0,False,False,Min SOC violation: 0.100; TLPS violation: 52.72%
default_city,independent,0,0,0,60.0,10.0,2594.304,1466.62130954052,1.7865873234999574,0.14627614256841007,3141.143064607899,103.77216,36.0,25.943040000000003,32148.029484563576,7333.106547702597,15705.715323039492,0.0,5530.154350087139,0.0,51.1986301369863,0,False,False,Min SOC violation: 0.100; TLPS violation: 51.20%
default_city,independent,0,0,0,60.0,11.0,2684.304,1416.3748268517365,1.914145174428321,0.1488017442530076,3191.3895472966824,107.37216000000001,39.6,26.843040000000002,32148.029484563576,7081.874134258676,15956.947736483413,0.0,6059.484127317763,0.0,50.31963470319635,0,False,False,Min SOC violation: 0.100; TLPS violation: 50.32%
default_city,independent,0,0,0,60.0,12.0,2774.304,1366.6839965714057,2.0502523238945383,0.15130322784634287,3241.080377577013,110.97216,43.2,27.743040000000004,32148.029484563576,6833.419982857025,16205.401887885064,0.0,6582.957971135701,0.0,49.4406392694064,0,False,False,Min SOC violation: 0.100; TLPS violation: 49.44%
default_city,independent,0,0,0,60.0,13.0,2864.304,1317.6605608431091,2.1955176666659426,0.15377574318098083,3290.10381330531,114.57216,46.8,28.643040000000006,32148.029484563576,6588.302804215542,16450.519066526547,0.0,7099.398209145316,0.0,48.19634703196347,0,False,False,Min SOC violation: 0.100; Max SOC violation: 0.900; TLPS violation: 48.20%
default_city,independent,0,0,0,60.0,14.0,2954.304,1268.880370731291,2.3515589876138807,0.15623770044030377,3338.884003417128,118.17216,50.4,29.543040000000005,32148.029484563576,6344.401853656451,16694.42001708564,0.0,7613.276690856511,0.0,47.12328767123288,0,False,False,Min SOC violation: 0.100; TLPS violation: 47.12%
default_city,independent,0,0,0,60.0,15.0,3044.304,1220.3494147806991,2.519562842214779,0.15868883969154354,3387.41495936772,121.77216,54.0,30.443040000000003,32148.029484563576,6101.747073903491,16937.0747968386,0.0,8124.52917645681,0.0,46.118721461187214,0,False,False,Min SOC violation: 0.100; TLPS violation: 46.12%
default_city,independent,0,0,0,60.0,16.0,3134.304,1172.2024479748188,2.700597533701793,0.16112331189501208,3435.5619261736,125.37216000000001,57.6,31.343040000000002,32148.029484563576,5861.012239874093,17177.809630867996,0.0,8631.735179929441,0.0,45.14840182648402,0,False,False,Min SOC violation: 0.100; TLPS violation: 45.15%
default_city,independent,0,0,0,60.0,17.0,3224.304,1124.4278309075248,2.8961814626836864,0.1635416222591003,3483.336543240894,128.97216,61.2,32.24304000000001,32148.029484563576,5622.139154537617,17416.682716204472,0.0,9135.018229863821,0.0,43.881278538812786,0,False,False,Min SOC violation: 0.100; TLPS violation: 43.88%
default_city,independent,0,0,0,60.0,18.0,3314.304,1076.9607647106886,3.1082349048242697,0.16594658337850132,3530.8036094377303,132.57216,64.8,33.14304,32148.029484563576,5384.803823553433,17654.018047188656,0.0,9635.060852678442,0.0,42.945205479452056,0,False,False,Min SOC violation: 0.100; TLPS violation: 42.95%
default_city,independent,0,0,0,60.0,19.0,3404.304,1029.9047812227045,3.338509639617353,0.16833370145405407,3577.8595929257144,136.17216,68.4,34.043040000000005,32148.029484563576,5149.523906113514,17889.297964628575,0.0,10130.771631786081,0.0,41.9406392694064,0,False,False,Min SOC violation: 0.100; TLPS violation: 41.94%
default_city,independent,0,0,0,60.0,20.0,3494.304,983.1958968341773,3.589566485543655,0.17070575369414867,3624.5684773142416,139.77216,72.0,34.94304,32148.029484563576,4915.979484170883,18122.842386571207,0.0,10622.825541589664,0.0,40.75342465753425,0,False,False,Min SOC violation: 0.100; TLPS violation: 40.75%
