City,Schedule_Start,HVAC_Energy
Jinan,21,10.396136400020774
Jinan,22,10.446515754494506
Jinan,23,10.497289435505682
Lasa,1,8.704069972649268
Lasa,2,8.781111300724609
Lasa,3,8.840125722023092
Lasa,4,8.892148401411658
Lasa,5,8.946344771677419
Lasa,6,8.999237757491297
Lasa,7,9.051156704371595
Lasa,8,9.095065472125984
Lasa,9,9.1028698478528
Lasa,10,9.057974896890657
Lasa,11,8.970419423888686
Lasa,12,8.853849879455524
Lasa,13,8.720547111452529
Lasa,14,8.579869878403303
Lasa,15,8.443194517521803
Lasa,16,8.321524628451156
Lasa,17,8.237198129989865
Lasa,18,8.207735759313806
Lasa,19,8.23242743250029
Lasa,20,8.287898943446542
Lasa,21,8.35898950100175
Lasa,22,8.440990327793596
Lasa,23,8.528024513946209
Urumqi,1,9.769895857383847
Urumqi,2,9.799891402513149
Urumqi,3,9.821284910136463
Urumqi,4,9.839184698956048
Urumqi,5,9.857259220116513
Urumqi,6,9.87596978759914
Urumqi,7,9.892591391345967
Urumqi,8,9.897593351959951
Urumqi,9,9.874953958111181
Urumqi,10,9.821501490589213
Urumqi,11,9.744954135377082
Urumqi,12,9.655690864035392
Urumqi,13,9.561826576624034
Urumqi,14,9.472740701638026
Urumqi,15,9.394600520536052
Urumqi,16,9.336382780519926
Urumqi,17,9.316158400849073
Urumqi,18,9.337632161251312
Urumqi,19,9.38958836625753
Urumqi,20,9.456572490934757
Urumqi,21,9.528425788913232
Urumqi,22,9.600281998440432
Urumqi,23,9.667223489907322
Zhengzhou,1,10.499840091176154
Zhengzhou,2,10.536991207616758
Zhengzhou,3,10.566924335284194
Zhengzhou,4,10.59385494597651
Zhengzhou,5,10.618826542283463
Zhengzhou,6,10.643782638750931
Zhengzhou,7,10.668811216599359
Zhengzhou,8,10.690331245371912
Zhengzhou,9,10.693627992779202
Zhengzhou,10,10.67088264638102
Zhengzhou,11,10.626647501495839
Zhengzhou,12,10.569628742334114
Zhengzhou,13,10.505277860433278
Zhengzhou,14,10.436479329181632
Zhengzhou,15,10.368811235958724
Zhengzhou,16,10.309796000069012
Zhengzhou,17,10.270710529289536
Zhengzhou,18,10.256439910912809
Zhengzhou,19,10.266131603751163
Zhengzhou,20,10.293133897119999
Zhengzhou,21,10.329625068545804
Zhengzhou,22,10.370497106173666
Zhengzhou,23,10.413267568121016
