,thermal conductivity,thickness,annual_energy_kWh,normalized_energy
74,0.5,0.05,2992.5417926781365,0.9572084784627227
75,0.5,0.06,2936.4318731009075,0.9392608959505603
76,0.5,0.07,2887.151199129267,0.9234977480254662
77,0.5,0.08,2844.0972432467292,0.9097263074050018
78,0.5,0.09,2806.472391449312,0.8976914455262108
79,0.5,0.1,2773.564152595273,0.8871652616248084
80,0.5,0.11,2745.263451786349,0.8781128664913405
81,0.5,0.12,2718.8795238994267,0.8696735793507891
82,0.5,0.13,2695.3640226027196,0.8621518006168771
83,0.5,0.14,2674.055523144662,0.8553359638608206
84,0.5,0.15,2654.1270172238587,0.8489615383215816
85,0.5,0.16,2636.390709736178,0.8432883196733514
86,0.5,0.17,2620.2904600121014,0.8381384181485139
87,0.5,0.18,2605.7957175411752,0.8335020617172516
88,0.5,0.19,2591.254664713726,0.8288508922377597
89,0.5,0.2,2575.8069034904665,0.8239096987505541
90,0.6,0.03,3157.357958440737,1.0
91,0.6,0.04,3092.828407106691,0.9795621680584123
92,0.6,0.05,3034.0887703375956,0.9609581207687905
93,0.6,0.06,2981.161650150345,0.9441950166532885
94,0.6,0.07,2933.979032493269,0.9292513142672668
95,0.6,0.08,2892.1859617228865,0.916014591880863
96,0.6,0.09,2855.2420294958283,0.9043136910918682
97,0.6,0.1,2822.389721430485,0.8939086915644889
98,0.6,0.11,2793.378973963457,0.8847203930412023
99,0.6,0.12,2766.2236228913657,0.8761197365969448
100,0.6,0.13,2743.9942562405267,0.8690792404151887
101,0.6,0.14,2722.3758945150585,0.8622322620205868
102,0.6,0.15,2702.5463381583563,0.8559518349617254
103,0.6,0.16,2683.840320574214,0.850027255667783
104,0.6,0.17,2666.861029234918,0.8446495659782424
105,0.6,0.18,2651.633261734752,0.8398266197996322
106,0.6,0.19,2637.0803951660673,0.8352174285833561
107,0.6,0.2,2624.2150697402326,0.8311427162462766
108,0.7000000000000001,0.03,3180.741569883008,1.0
109,0.7000000000000001,0.04,3121.18007079227,0.9812743356283016
110,0.7000000000000001,0.05,3066.3042842500577,0.9640218222327444
111,0.7000000000000001,0.06,3016.3038848366946,0.948302092001658
112,0.7000000000000001,0.07,2971.2615486842983,0.9341411376572745
113,0.7000000000000001,0.08,2930.9204210618004,0.9214582061030515
114,0.7000000000000001,0.09,2894.918922946402,0.9101396197531636
115,0.7000000000000001,0.1,2862.7097072218244,0.9000132970020317
116,0.7000000000000001,0.11,2833.7341707877713,0.8909036174517
117,0.7000000000000001,0.12,2807.9623904622204,0.8828011734903383
118,0.7000000000000001,0.13,2783.228838005325,0.8750251401617943
119,0.7000000000000001,0.14,2763.109786999936,0.8686998696035425
120,0.7000000000000001,0.15,2743.1857525627443,0.8624359107123696
121,0.7000000000000001,0.16,2724.7863870718843,0.8566512956826309
122,0.7000000000000001,0.17,2707.2528526077253,0.8511388910817114
123,0.7000000000000001,0.18,2691.212757598261,0.8460960120369814
124,0.7000000000000001,0.19,2678.7957964695333,0.8421922176368648
125,0.7000000000000001,0.2,2663.2012316361233,0.8372894097567566
126,0.8,0.03,3199.00007147315,1.0
127,0.8,0.04,3143.5553227185765,0.9826681001826171
128,0.8,0.05,3092.0066174816716,0.9665540945292297
129,0.8,0.06,3044.6404748833525,0.9517475482522529
130,0.8,0.07,3001.605106880856,0.9382947920656366
131,0.8,0.08,2962.7705218422234,0.926155190886838
132,0.8,0.09,2927.8314356650776,0.9152333136137761
133,0.8,0.1,2896.3604994243015,0.9053955719639974
134,0.8,0.11,2867.9213785993543,0.8965055687787675
135,0.8,0.12,2842.235057550301,0.8884760844164166
136,0.8,0.13,2819.0591692603484,0.8812313555098367
137,0.8,0.14,2799.1105317157,0.874995457698349
138,0.8,0.15,2778.080529683893,0.868421527857165
139,0.8,0.16,2759.6728945528757,0.8626673438247338
140,0.8,0.17,2742.564285203873,0.8573192322377515
141,0.8,0.18,2726.1432995379555,0.8521860702186723
142,0.8,0.19,2711.032068439358,0.8474623344384357
143,0.8,0.2,2698.041332249574,0.8434014604467068
144,0.9,0.03,3213.6439509574434,1.0
145,0.9,0.04,3161.6646985261473,0.9838254476150633
146,0.9,0.05,3112.9977994015476,0.9686816109401571
147,0.9,0.06,3067.9681098489145,0.9546695765518369
148,0.9,0.07,3026.7829267726597,0.9418538496994628
149,0.9,0.08,2989.40098948953,0.9302215911625479
150,0.9,0.09,2955.5529375730307,0.9196889831844877
151,0.9,0.1,2924.8835587487206,0.9101454932110036
